Titulo;Autor;Año;Editorial;País;Referencia;Linea;Categoria
La morfología de las ciudades: Sociedad, cultura y paisaje urbano.;Capel, H.;2002;Ediciones del Serbal;España;TUR-138; Cultura y espacio urbano;Teoría Urbana
La morfología de las ciudades: Aedes facere, Técnica, cultura y clase social en la construcción de edificios.;Capel, H.;2002;Ediciones del Serbal;España;TUR-139; Cultura y espacio urbano;Teoría Urbana
La morfología de las ciudades: Agentes urbanos y mercado inmobiliario;Capel, H.;2002;Ediciones del Serbal;España;TUR-140; Cultura y espacio urbano;Teoría Urbana
Manual de ciencia del paisaje. Teoría métodos y aplicaciones;Bolos, M. D;1992;Masson SA Barcelona;España;TUR-141; Cultura y espacio urbano;Teoría Urbana
El Emilio Cifuentes y la construcción del paisaje;Salamanca, O.;2004;Universidad Nacional de Colombia;Colombia;TUR-142; Cultura y espacio urbano;Teoría Urbana
Ciudades proyectadas. Cine y espacio urbano;Barber Stephen;2002;Edición en español: Gustavo Gili;Londres;TUR-143; Cultura y espacio urbano;Teoría Urbana
La ciudad de la arquitectura. Una relectura de Aldo Rossi;José Luque Valdivia;1996;Oikos - tau;Barcelona;TUR-144; Cultura y espacio urbano;Teoría Urbana
The city shaped;Spiro Kostof;1991;Brown & Company;Londres;TUR-145; Cultura y espacio urbano;Teoría Urbana
Ciudad Universidad y Universitarios. Bogotá, el vecindario de la calle 45;Beatriz García Moreno;2007;Editorial Pontificia Universidad Javeriana;Colombia;TUR-146; Cultura y espacio urbano;Teoría Urbana
Organizando su espacio, construyendo su territorio. Transformaciones de los asentamientos Ticuna en la Ribiera del Amazonas colombiano;Elizabeth Riaño Umbarila;2003;Universidad Nacional de Colombia;Colombia;TUR-147; Cultura y espacio urbano;Teoría Urbana
Traza N7;Universidad de la Salle;2013;Universidad de la Salle;Colombia;TUR-148; Cultura y espacio urbano;Teoría Urbana
;;;;;;;
Planes Maestros. Equipamientos Colectivos. Educación;Alcaldía Mayor de Bogotá;2006;Departamento Administrativo de Planeación Distrital;Colombia;PUN-001; Cultura y espacio urbano;Planeacion Urbana y Normativa
Planes Maestros. Equipamientos Colectivos. Culto;Alcaldía Mayor de Bogotá;2006;Departamento Administrativo de Planeación Distrital;Colombia;PUN-002; Cultura y espacio urbano;Planeacion Urbana y Normativa
Planes Maestros. Equipamientos Colectivos. Salud;Alcaldía Mayor de Bogotá;2006;Departamento Administrativo de Planeación Distrital;Colombia;PUN-003; Cultura y espacio urbano;Planeacion Urbana y Normativa
Planes Maestros. Equipamientos Colectivos. Cultura;Alcaldía Mayor de Bogotá;2006;Departamento Administrativo de Planeación Distrital;Colombia;PUN-004; Cultura y espacio urbano;Planeacion Urbana y Normativa
Planes Maestros. Equipamientos Colectivos. Bienestar;Alcaldía Mayor de Bogotá;2006;Departamento Administrativo de Planeación Distrital;Colombia;PUN-005; Cultura y espacio urbano;Planeacion Urbana y Normativa
Planes Maestros. Servicios Públicos. Residuos Sólidos;Alcaldía Mayor de Bogotá;2006;Departamento Administrativo de Planeación Distrital;Colombia;PUN-006; Cultura y espacio urbano;Planeacion Urbana y Normativa
Planes Maestros. Servicios Públicos. Energía;Alcaldía Mayor de Bogotá;2006;Departamento Administrativo de Planeación Distrital;Colombia;PUN-007; Cultura y espacio urbano;Planeacion Urbana y Normativa
Planes Maestros. Servicios Públicos. Gas Natural;Alcaldía Mayor de Bogotá;2006;Departamento Administrativo de Planeación Distrital;Colombia;PUN-008; Cultura y espacio urbano;Planeacion Urbana y Normativa
Planes Maestros. Servicios Públicos. Telecomunicaciones;Alcaldía Mayor de Bogotá;2006;Departamento Administrativo de Planeación Distrital;Colombia;PUN-009; Cultura y espacio urbano;Planeacion Urbana y Normativa
Planes Maestros. Servicios Públicos. Acueducto y Alcantarillado;Alcaldía Mayor de Bogotá;2006;Departamento Administrativo de Planeación Distrital;Colombia;PUN-010; Cultura y espacio urbano;Planeacion Urbana y Normativa
Planes Maestros. Movilidad y Espacio Público. Movilidad;Alcaldía Mayor de Bogotá;2006;Departamento Administrativo de Planeación Distrital;Colombia;PUN-011; Cultura y espacio urbano;Planeacion Urbana y Normativa
Planes Maestros. Movilidad y Espacio Público. Espacio Público;Alcaldía Mayor de Bogotá;2006;Departamento Administrativo de Planeación Distrital;Colombia;PUN-012; Cultura y espacio urbano;Planeacion Urbana y Normativa
Planes Maestros. Servicios Urbanos Básicos. Seguridad Defensa y Justicia;Alcaldía Mayor de Bogotá;2006;Departamento Administrativo de Planeación Distrital;Colombia;PUN-013; Cultura y espacio urbano;Planeacion Urbana y Normativa
Planes Maestros. Servicios Urbanos Básicos. Recintos Feriales;Alcaldía Mayor de Bogotá;2006;Departamento Administrativo de Planeación Distrital;Colombia;PUN-014; Cultura y espacio urbano;Planeacion Urbana y Normativa
Planes Maestros. Servicios Urbanos Básicos. Abastecimiento y Seguridad Alimentaria;Alcaldía Mayor de Bogotá;2006;Departamento Administrativo de Planeación Distrital;Colombia;PUN-015; Cultura y espacio urbano;Planeacion Urbana y Normativa
Planes Maestros. Servicios Urbanos Básicos. Cementerios y Servicios Funerarios;Alcaldía Mayor de Bogotá;2006;Departamento Administrativo de Planeación Distrital;Colombia;PUN-016; Cultura y espacio urbano;Planeacion Urbana y Normativa
Planes Maestros. Equipamientos Recreo Deportivo. Recreativo y Deportivo;Alcaldía Mayor de Bogotá;2006;Departamento Administrativo de Planeación Distrital;Colombia;PUN-017; Cultura y espacio urbano;Planeacion Urbana y Normativa
Plan Maestro de Espacio Público. Decreto No. 215 2005;Alcaldía Mayor de Bogotá;2005;Departamento Administrativo de Planeación Distrital;Colombia;PUN-018; Cultura y espacio urbano;Planeacion Urbana y Normativa
Plan Maestro de Espacio Público. Documento Resumen;Alcaldía Mayor de Bogotá;2005;Departamento Administrativo de Planeación Distrital;Colombia;PUN-019; Cultura y espacio urbano;Planeacion Urbana y Normativa
Plan Maestro de Espacio Público. Documento Técnico de Soporte;Alcaldía Mayor de Bogotá;2005;Departamento Administrativo de Planeación Distrital;Colombia;PUN-020; Cultura y espacio urbano;Planeacion Urbana y Normativa
Plan Maestro de Espacio Público. Base de Datos Geográfica ;Alcaldía Mayor de Bogotá;2005;Departamento Administrativo de Planeación Distrital;Colombia;PUN-021; Cultura y espacio urbano;Planeacion Urbana y Normativa
Plan Maestro de Espacio Público. Población y Espacio Público;Alcaldía Mayor de Bogotá;2005;Departamento Administrativo de Planeación Distrital;Colombia;PUN-022; Cultura y espacio urbano;Planeacion Urbana y Normativa
Planes Maestros para ejercer el Derecho a la Ciudad. Bogotá se oderna para ser más Moderna y Humana;Departamento Nacional de Planeación;2006;Virtual Television . Diseños e Impresiones Bogotá;Colombia;PUN-023; Cultura y espacio urbano;Planeacion Urbana y Normativa
Plan de Ordenamiento Territorial POT. Decreto 619 de 2000;Departamento Nacional de Planeación;2000;;Colombia;PUN-024; Cultura y espacio urbano;Planeacion Urbana y Normativa
Plan de Ordenamiento Territorial POT. Decreto 364 de 2013;Departamento Nacional de Planeación;2013;Imprenta Nacional;Colombia;PUN-025; Cultura y espacio urbano;Planeacion Urbana y Normativa
Plan de Ordenamiento Territorial de Bogota. Documento Resumen. Acuerdos para construir ciudad;Departamento Nacional de Planeación;2007;Cargraphics S.A;Colombia;PUN-026; Cultura y espacio urbano;Planeacion Urbana y Normativa
UPZ Norma común. Decreto 159 de 2004;Departamento Nacional de Planeación;2007;Cargraphics S.A;Colombia;PUN-027; Cultura y espacio urbano;Planeacion Urbana y Normativa
UPZ 20 La Alhambra. Acuerdos para construir ciudad;Departamento Nacional de Planeación;2007;Cargraphics S.A;Colombia;PUN-028; Cultura y espacio urbano;Planeacion Urbana y Normativa
UPZ 22 Doce de Octubre. Acuerdos para construir ciudad;Departamento Nacional de Planeación;2007;Cargraphics S.A;Colombia;PUN-029; Cultura y espacio urbano;Planeacion Urbana y Normativa
UPZ 26 Las Ferias. Acuerdos para construir ciudad;Departamento Nacional de Planeación;2007;Cargraphics S.A;Colombia;PUN-030; Cultura y espacio urbano;Planeacion Urbana y Normativa
UPZ 31 Santa Cecilia. Acuerdos para construir ciudad;Departamento Nacional de Planeación;2007;Cargraphics S.A;Colombia;PUN-031; Cultura y espacio urbano;Planeacion Urbana y Normativa
UPZ 36 San José. Acuerdos para construir ciudad;Departamento Nacional de Planeación;2007;Cargraphics S.A;Colombia;PUN-032; Cultura y espacio urbano;Planeacion Urbana y Normativa
UPZ 41 Muzú. Acuerdos para construir ciudad;Departamento Nacional de Planeación;2007;Cargraphics S.A;Colombia;PUN-033; Cultura y espacio urbano;Planeacion Urbana y Normativa
UPZ 43 San Rafael. Acuerdos para construir ciudad;Departamento Nacional de Planeación;2007;Cargraphics S.A;Colombia;PUN-034; Cultura y espacio urbano;Planeacion Urbana y Normativa
UPZ 45 Carvajal. Acuerdos para construir ciudad;Departamento Nacional de Planeación;2007;Cargraphics S.A;Colombia;PUN-035; Cultura y espacio urbano;Planeacion Urbana y Normativa
UPZ 49 Apogeo. Acuerdos para construir ciudad;Departamento Nacional de Planeación;2007;Cargraphics S.A;Colombia;PUN-036; Cultura y espacio urbano;Planeacion Urbana y Normativa
UPZ 55 Diana Turbay. Acuerdos para construir ciudad;Departamento Nacional de Planeación;2007;Cargraphics S.A;Colombia;PUN-037; Cultura y espacio urbano;Planeacion Urbana y Normativa
UPZ 72 Bolivia. Acuerdos para construir ciudad;Departamento Nacional de Planeación;2007;Cargraphics S.A;Colombia;PUN-038; Cultura y espacio urbano;Planeacion Urbana y Normativa
UPZ 73 Garcés Navas. Acuerdos para construir ciudad;Departamento Nacional de Planeación;2007;Cargraphics S.A;Colombia;PUN-039; Cultura y espacio urbano;Planeacion Urbana y Normativa
UPZ81 Gran Britania. Acuerdos para construir ciudad;Departamento Nacional de Planeación;2007;Cargraphics S.A;Colombia;PUN-040; Cultura y espacio urbano;Planeacion Urbana y Normativa
Agenda de participación local. Usaquén 1;CSB;1997;Impreandes;Colombia;PUN-041; Cultura y espacio urbano;Planeacion Urbana y Normativa
Agenda de participación local. Santa Fé 3;CSB;1997;Impreandes;Colombia;PUN-042; Cultura y espacio urbano;Planeacion Urbana y Normativa
Agenda de participación local. San Cristobal 4;CSB;1997;Impreandes;Colombia;PUN-043; Cultura y espacio urbano;Planeacion Urbana y Normativa
Agenda de participación local. Usme 5;CSB;1997;Impreandes;Colombia;PUN-044; Cultura y espacio urbano;Planeacion Urbana y Normativa
Agenda de participación local. Tunjuelito 6;CSB;1997;Impreandes;Colombia;PUN-045; Cultura y espacio urbano;Planeacion Urbana y Normativa
Agenda de participación local. Bosa 7;CSB;1997;Impreandes;Colombia;PUN-046; Cultura y espacio urbano;Planeacion Urbana y Normativa
Agenda de participación local. Kennedy 8;CSB;1997;Impreandes;Colombia;PUN-047; Cultura y espacio urbano;Planeacion Urbana y Normativa
Agenda de participación local. Fontibón 9;CSB;1997;Impreandes;Colombia;PUN-048; Cultura y espacio urbano;Planeacion Urbana y Normativa
Agenda de participación local. Engativá 10;CSB;1997;Impreandes;Colombia;PUN-049; Cultura y espacio urbano;Planeacion Urbana y Normativa
Agenda de participación local. Suba 11;CSB;1997;Impreandes;Colombia;PUN-050; Cultura y espacio urbano;Planeacion Urbana y Normativa
Agenda de participación local. Barrios Unidos 12;CSB;1997;Impreandes;Colombia;PUN-051; Cultura y espacio urbano;Planeacion Urbana y Normativa
Agenda de participación local. Teusaquillo 13;CSB;1997;Impreandes;Colombia;PUN-052; Cultura y espacio urbano;Planeacion Urbana y Normativa
Agenda de participación local. Los Mártires 14;CSB;1997;Impreandes;Colombia;PUN-053; Cultura y espacio urbano;Planeacion Urbana y Normativa
Agenda de participación local. Antonio Nariño 15;CSB;1997;Impreandes;Colombia;PUN-054; Cultura y espacio urbano;Planeacion Urbana y Normativa
Agenda de participación local. Puente Aranda 16;CSB;1997;Impreandes;Colombia;PUN-055; Cultura y espacio urbano;Planeacion Urbana y Normativa
Agenda de participación local. La Candelaria 17;CSB;1997;Impreandes;Colombia;PUN-056; Cultura y espacio urbano;Planeacion Urbana y Normativa
Agenda de participacion local. Rafael Uribe 18;CSB;1997;Impreandes;Colombia;PUN-057; Cultura y espacio urbano;Planeacion Urbana y Normativa
Agenda de participación local. Ciudad Bolivar 19;CSB;1997;Impreandes;Colombia;PUN-058; Cultura y espacio urbano;Planeacion Urbana y Normativa
Agenda de participación local. Sumapaz 20;CSB;1997;Impreandes;Colombia;PUN-059; Cultura y espacio urbano;Planeacion Urbana y Normativa
Paisaje Urbano;Tandy, Cliff;1976;Blume;España;PUN-060; Cultura y espacio urbano;Planeacion Urbana y Normativa
El diseño de vías urbanas;McClusket, Jim;1985;Gustavo Gili;España;PUN-061; Cultura y espacio urbano;Planeacion Urbana y Normativa
Esquema de ordenamiento territorial. Municipio de Uribe - Meta;Alcaldía Municipal de Uribe;2005;;Colombia;PUN-062; Cultura y espacio urbano;Planeacion Urbana y Normativa
Municipio de La Calera 1999. Acuerdo Municipal No. 043 de 1999. P.O.T;Municipuo de La Calera;1999;;Colombia;PUN-063; Cultura y espacio urbano;Planeacion Urbana y Normativa
Ordenamiento y administración del espacio urbano en Bogotá;Alcaldía Mayor de Bogotá;1981;Departamento Administrativo de Planeación Distrital;Colombia;PUN-064; Cultura y espacio urbano;Planeacion Urbana y Normativa
El plan urbano del centro ampliado de Bogotá. Una estrategia para la revitalización urbana;Alcaldía Mayor de Bogotá;2014;Secretaria Distrital de Planeación;Colombia;PUN-065; Cultura y espacio urbano;Planeacion Urbana y Normativa
Plan de Ordenamiento Territorial del Municipio de Chia. Acuerdo 17 de 2000;Parra Forero, Marcos;2000;Edilider;Colombia;PUN-066; Cultura y espacio urbano;Planeacion Urbana y Normativa
Cuadernos de vivienda y urbanismo;Pontificia Universidad Javeriana;2013;Injaviu;Colombia;PUN-067; Cultura y espacio urbano;Planeacion Urbana y Normativa
Región metropolitana de Bogotá. Una visión de la ocupación del suelo;Alcaldía Mayor de Bogotá;2014;Secretaria Distrital de Planeación;Colombia;PUN-068; Cultura y espacio urbano;Planeacion Urbana y Normativa
Demografía, población y diversidad;Alcaldía Mayor de Bogotá;2013;Secretaria Distrital de Planeación;Colombia;PUN-069; Cultura y espacio urbano;Planeacion Urbana y Normativa
Recomposición urbana, estudio de caso: Chiguaza, Abrahan Lincoln - Tunjuelito;"Assmus Ramírez, Eduardo; Guzmán Cubillos, Luis Antonio";2011;Universidad Piloto de Colombia;Colombia;PUN-070; Cultura y espacio urbano;Planeacion Urbana y Normativa
Desarrollos prácticos en ordenamiento territorial;Franco, Ángela María;2007;Escala;Colombia;PUN-071; Cultura y espacio urbano;Planeacion Urbana y Normativa
Pacto por el hábitat digno en Bogotá D.C;Metrovivienda;2007;Alcaldía Mayor de Bogotá;Colombia;PUN-072; Cultura y espacio urbano;Planeacion Urbana y Normativa
Informe de gestión 2004 - 2007;Metrovivienda;2007;Alcaldía Mayor de Bogotá;Colombia;PUN-073; Cultura y espacio urbano;Planeacion Urbana y Normativa
Construyendo una institucionalidad del hábitat 2006 - 2006;Metrovivienda;2007;Alcaldía Mayor de Bogotá;Colombia;PUN-074; Cultura y espacio urbano;Planeacion Urbana y Normativa
El plan de ordenamiento territorial de Bogotá;Cámara de comercio;2006;Cámara de comercio;Colombia;PUN-075; Cultura y espacio urbano;Planeacion Urbana y Normativa
Renovación urbana. Acciones realizaciones e inteniones;Banco Central Hipotecario;1986;Escala;;PUN-076; Cultura y espacio urbano;Planeacion Urbana y Normativa
Región central de Colombia;Universidad Nacional;2005;Univeridad Nacional;Colombia;PUN-077; Cultura y espacio urbano;Planeacion Urbana y Normativa
Hacia una Colombia equitativa e incluyente. Mensajes centrales;Programa de las Naciones Unidas para el Desarrollo;2005;Formato comunicación/diseño Ltda;Colombia;PUN-078; Cultura y espacio urbano;Planeacion Urbana y Normativa
Bogotá: Plan centro 1990 - 1992;Caicedo Ferrer, Juan Martín;1990;Cámara de comercio;Colombia;PUN-079; Cultura y espacio urbano;Planeacion Urbana y Normativa
IDU - Líder del desarrollo urbano de Bogotá;Instituto de Desarrollo Urbano;;Alcaldía Mayor de Bogotá;Colombia;PUN-080; Cultura y espacio urbano;Planeacion Urbana y Normativa
Ley 9na;Inurbe;1996;Puntos suspensivos Editores;Colombia;PUN-081; Cultura y espacio urbano;Planeacion Urbana y Normativa
Análisis urbano Carrera 10° - Bogotá;Villabona, Julio César - Estudiantes;1990;Universidad Católica de Colombia;Colombia;PUN-082; Cultura y espacio urbano;Planeacion Urbana y Normativa
Planes parciales de renovación. Pensando cómo vivir;Alcaldía Mayor de Bogotá;2008;Secretaria Distrital de Planeación;Colombia;PUN-083; Cultura y espacio urbano;Planeacion Urbana y Normativa
Los caminos de los cerros;Alcaldía Mayor de Bogotá - Wiesner Ceballos, Diana;2007;Multi-impresos Ltda;Colombia;PUN-084; Cultura y espacio urbano;Planeacion Urbana y Normativa
Sistema de transporte masivo;Universidad Católica de Colombia;2003;Universidad Católica de Colombia;Colombia;PUN-085; Cultura y espacio urbano;Planeacion Urbana y Normativa
Guía de trámites de urbanismo y construcción;Secretaría Distrital del Hábtat;;Alcaldía Mayor de Bogotá;Colombia;PUN-086; Cultura y espacio urbano;Planeacion Urbana y Normativa
10 Años de metrovivienda. Modelos de gestión del suelo, vivienda y hábitat;"Casafranco Roldán, María Virginia; Arcos Palma, Oscar";2015;Alcaldía Mayor de Bogotá;Colombia;PUN-087; Cultura y espacio urbano;Planeacion Urbana y Normativa
Cartilla del Espacio Público;Alcaldía Mayor de Bogotá;1993;Secretaria Distrital de Planeación;Colombia;PUN-088; Cultura y espacio urbano;Planeacion Urbana y Normativa
UPZ 71 T ibabuyes. Localidad 11 Suba;Departamento Administrativo de Planeación Distrital;2007;Alcaldía Mayor de Bogotá;Colombia;PUN-089; Cultura y espacio urbano;Planeacion Urbana y Normativa
II Seminario de urbanismo, medio ambiente y seguridad jurídica. Futuro Capital;"Arango Olaya, Cristina; Gómez Lee, Iván Darío; Osso Andrade, Paola";2011;Gracom;Colombia;PUN-090; Cultura y espacio urbano;Planeacion Urbana y Normativa
Formalidad e informalidad, espacio público y equidad urbana. Parque Tercer Milenio;"Universidad de los Andes; Universidad Nacional de Colombia; Universidad de La Salle; MIT School of architecture + planning";2016;Legis S.A;Colombia;PUN-091; Cultura y espacio urbano;Planeacion Urbana y Normativa
Memoria del Departamento Nacional de Planeación 1978 - 1980;Wiesner Duran, Eduardo;1982;Banco de la República - Talleres Gráficos;Colombia;PUN-092; Cultura y espacio urbano;Planeacion Urbana y Normativa
La gestión urbana en América Latina. Debates de la reflexión - acción;Universidad Piloto de Colombia - Maestría de Gestión Urbana;2013;Digiprint editores;Colombia;PUN-093; Cultura y espacio urbano;Planeacion Urbana y Normativa
MultiBogotá. El por-venir de la ciudad discontinua. Una propuesta optimista para Bogotá siglo XXI;"Guallart, Vicente; Müller, Willy, Hernández Correa, Carlos";2011;Nomos impresores;Colombia;PUN-094; Cultura y espacio urbano;Planeacion Urbana y Normativa
Gaceta de urbanismo y construcción. Acuerdo 6 del 90 No.1;Departamento Administrativo de Planeación Distrital;1991;Alcaldía Mayor de Bogotá;Colombia;PUN-095; Cultura y espacio urbano;Planeacion Urbana y Normativa
Gaceta de urbanismo y construcción. Acuerdo 6 del 90 No.2;Departamento Administrativo de Planeación Distrital;1991;Alcaldía Mayor de Bogotá;Colombia;PUN-096; Cultura y espacio urbano;Planeacion Urbana y Normativa
Estatuto para el ordenamiento físico del Distrito especial de Bogotá. Acuerdo 6 de 1990;Alcaldía Mayor de Bogotá;1990;Alcaldía Mayor de Bogotá;Colombia;PUN-097; Cultura y espacio urbano;Planeacion Urbana y Normativa
Programa de recuperación del centro de Bogotá. Decretos reglamentarios;Departamento Administrativo de Planeación Distrital;1987;Imprenta Distrital de Bogotá;Colombia;PUN-098; Cultura y espacio urbano;Planeacion Urbana y Normativa
Guía rápida de población del population Reference Bureau, Inc. Clara introducción a la dinámica de la población para docentes, estudiantes, periodistas y para toda la gente que tiene interés en la gente;"Haupt, Arthur; Kane, Thomas T.";1980;Moore and Morre Inc;EE.UU;PUN-099; Cultura y espacio urbano;Planeacion Urbana y Normativa
Ciudades Colombianas en transformación. Barranquilla - Bogotá - Bucaramanga - Manizales - Medellín - Montería - Pereira - Santa Marta;Sociedad Colombiana de Arquitectos;2010;Editorial Planeta;Colombia;PUN-100; Cultura y espacio urbano;Planeacion Urbana y Normativa
Planes de desarrollo en la Orinoquía y la Amazonía;Perez Bareño, Leonel;1986;Editorial Presencia;Colombia;PUN-101; Cultura y espacio urbano;Planeacion Urbana y Normativa
Guía de barrios y UPZ por localidad;Departamento Administrativo de Planeación Distrital;2007;Cargraphics S.A;Colombia;PUN-102; Cultura y espacio urbano;Planeacion Urbana y Normativa
Bogotá. Guía turística. 2.600 metros más cerca de las estrellas;Alcaldía Mayor de Bogotá;1999;Alcaldía Mayor de Bogotá;Colombia;PUN-103; Cultura y espacio urbano;Planeacion Urbana y Normativa
Ecoguías para el Municipio Colombiano 1. El Ecoplan. Planificación Ambiental Municipal;Alcaldía Mayor de Bogotá;1999;Tercer Mundo;Colombia;PUN-104; Cultura y espacio urbano;Planeacion Urbana y Normativa
Ecoguías para el Municipio Colombiano 2. El Agua en el manejo de cuencas;Alcaldía Mayor de Bogotá;1999;Tercer Mundo;Colombia;PUN-105; Cultura y espacio urbano;Planeacion Urbana y Normativa
Ecoguías para el Municipio Colombiano 3. Los suelos recuperación y conservación;Alcaldía Mayor de Bogotá;1999;Tercer Mundo;Colombia;PUN-106; Cultura y espacio urbano;Planeacion Urbana y Normativa
Ecoguías para el Municipio Colombiano 4. Tecnologías alternativas soluciones locales;Alcaldía Mayor de Bogotá;1999;Tercer Mundo;Colombia;PUN-107; Cultura y espacio urbano;Planeacion Urbana y Normativa
Ecoguías para el Municipio Colombiano 5. Agroecología la agricultura sostenible;Alcaldía Mayor de Bogotá;1999;Tercer Mundo;Colombia;PUN-108; Cultura y espacio urbano;Planeacion Urbana y Normativa
Ecoguías para el Municipio Colombiano 6. Viveros y reforestación sembrando futuro;Alcaldía Mayor de Bogotá;1999;Tercer Mundo;Colombia;PUN-109; Cultura y espacio urbano;Planeacion Urbana y Normativa
Ecoguías para el Municipio Colombiano 7. Educación ambiental aprendiendo de la naturaleza;Alcaldía Mayor de Bogotá;1999;Tercer Mundo;Colombia;PUN-110; Cultura y espacio urbano;Planeacion Urbana y Normativa
El barrio de Colón. Rehabilitación urbana y desarrollo comunitario en La Habana;"Rey, Gina; Rojas, Angela, Chateloin, Felicia";2005;Ponton Caribe;Cuba;PUN-111; Cultura y espacio urbano;Planeacion Urbana y Normativa
Recorriendo Suba 2004;Departamento Nacional de Planeación;2004;DNP;Colombia;PUN-112; Cultura y espacio urbano;Planeacion Urbana y Normativa
Plan de Desarrollo Tunja, Siglo XXI;Alcaldía Mayor de Tunja;1995;Editorial Talleres Gráficos Ltda;Colombia;PUN-113; Cultura y espacio urbano;Planeacion Urbana y Normativa
La ciudad del río, Honda;Guzmán, Ángela Inés;2002;Editorial Unibiblos;Colombia;PUN-114; Cultura y espacio urbano;Planeacion Urbana y Normativa
Las nieves la ciudad al otro lado;"Hernández Molina, Rubén; Carrasco Zaldúa Fernando";2010;Buenos y creativos S.A.S;Colombia;PUN-115; Cultura y espacio urbano;Planeacion Urbana y Normativa
2001 Tres proyectos para Armenia;Facultad de Artes. Universidad Nacional de Colombia;2002;Editorial Unibiblos;Colombia;PUN-116; Cultura y espacio urbano;Planeacion Urbana y Normativa
"Usme; historia de un territorio ";Alcaldía Mayor de Bogotá;2011;Imprenta Nacional;Colombia;PUN-117; Cultura y espacio urbano;Planeacion Urbana y Normativa
Armenia ciudad educadora. Cartilla de actuacion urbana zona 8 Sector Centro;Municipio de Armenia;1999;Fudesco;Colombia;PUN-118; Cultura y espacio urbano;Planeacion Urbana y Normativa
Propuesta de recuperacion del espacio pùblico del barrio Egipto;"Hernández, Carlos; Samper, Eduardo y Cortés, Fernando";;BCH;Colombia;PUN-119; Cultura y espacio urbano;Planeacion Urbana y Normativa
La Plata: de la ciudad antigüa a la ciudad nueva sueños y realidades;"Alak, Julio César; Román; Iglesias, Ariel; Morosi, Julio Ángel";1994;Estudio Formas;Argentina;PUN-120; Cultura y espacio urbano;Planeacion Urbana y Normativa
El espacio público en  barrios incompletos de vivienda popular. Estudio de caso en Funza, Mosquera y Madrid;Rodríguez Basto, Gedma Estela;2010;Libros del Páramo;Colombia;PUN-121; Cultura y espacio urbano;Planeacion Urbana y Normativa
La Candelaria Centro Histórico Santa Fe de Bogotá;Alcaldía Mayor de Bogotá;;Corporación La Candelaria;Colombia;PUN-122; Cultura y espacio urbano;Planeacion Urbana y Normativa
Síntesis de acción del informe mundial sobre los asentamientos humanos;United Nations Centre for Human Settlements (habitat);;ONU;Kenya;PUN-123; Cultura y espacio urbano;Planeacion Urbana y Normativa
Revista de programa de pós-graducao em arquitetura e urbanismo de fauusp;Pós;2015;;Brasil;PUN-124; Cultura y espacio urbano;Planeacion Urbana y Normativa
Bucaramanga: paradojas de un ordenamiento urbano. Evolucion de las políticas, normativas y planes de ordenamiento urbano de la ciudad de Bucaramanga durante el siglo XX;Rueda Gómez, Néstor José;2003;Litografia Iris Impresores;Colombia;PUN-125; Cultura y espacio urbano;Planeacion Urbana y Normativa
Foro economico, regional y urbano. Bogotá ¿tendrá transporte masivo?;;1999;"Operaciones Urbanas y Regionales ""Urbanar";Colombia;PUN-126; Cultura y espacio urbano;Planeacion Urbana y Normativa
Destination Ciudad CAN 2038;Agencia Nacional Inmobiliaria Virgilio Vargas;2016;Agencia Nacional Inmobiliaria Virgilio Vargas;Colombia;PUN-127; Cultura y espacio urbano;Planeacion Urbana y Normativa
Plan Integral para el centro de Armenia ;Hernández - Zabala - De Poortrere;1999;;Colombia;PUN-128; Cultura y espacio urbano;Planeacion Urbana y Normativa
Decreto 364 de 26 de agosto de 2013;Alcaldia Mayor de Bogotá;2013;Alcaldía Mayor de Bogotá;Colombia;PUN-129; Cultura y espacio urbano;Planeacion Urbana y Normativa
El POT es más calidad de vida para Bogotá y la región. Guía estratégica.;Alcaldía mayor de Bogotá;2018;Alcaldía Mayor de Bogotá;Colombia;PUN-130; Cultura y espacio urbano;Planeacion Urbana y Normativa
Avenida Jorge Eliécer Gaitán. Corredor Cultural calle 26: eje de la paz y la memoria.;Alcaldía mayor de Bogotá;2015;Alcaldía Mayor de Bogotá;Colombia;PUN-131; Cultura y espacio urbano;Planeacion Urbana y Normativa
Ojo con la Ciudad;Alcaldía mayor de Bogotá;2001;Alcaldía Mayor de Bogotá;Colombia;PUN-132; Cultura y espacio urbano;Planeacion Urbana y Normativa
Hábitat y espacio público;Alcaldía mayor de Bogotá;2007;Alcaldía Mayor de Bogotá;Colombia;PUN-133; Cultura y espacio urbano;Planeacion Urbana y Normativa
La vivienda social y su desarrollo progresivo. Manual para el cumplimiento de normas urbanisticas y arquitectonicas en proyectos de vivienda de interes social Tomo I;;1998;Sena-Camacol;Colombia ;PUN-134; Cultura y espacio urbano;Planeacion Urbana y Normativa
La vivienda social y su desarrollo progresivo. Manual para el cumplimiento de normas urbanisticas y arquitectonicas en proyectos de vivienda de interes social Tomo II;Camacol;1998;Sena-Camacol;Colombia ;PUN-135; Cultura y espacio urbano;Planeacion Urbana y Normativa
Manueal de diseño y ubicación de elementos en el espacio publico;Alcaldía mayor de Bogotá;1998;Alcaldía Mayor de Bogotá;Colombia ;PUN-136; Cultura y espacio urbano;Planeacion Urbana y Normativa
La Bogotá del tercer milenio : historia de una revolución urbana 1998-2000: Bogotá Viva;Alcaldía mayor de Bogotá;2000;Alcaldía Mayor de Bogotá;Colombia ;PUN-137; Cultura y espacio urbano;Planeacion Urbana y Normativa
